aesthetic	“A contract is like roses; it may look wonderful and innocent at first, but once you’ve got it, it stabs you with its vicious thorns.”
aesthetic	“Big drop of rain are falling from the mysterious sky, like oil trickling for a dirty pan; a storm is coming.”
aesthetic	“Drops of rain exit the pillowcases, drowsily float like feathers, soar in many directions.”
aesthetic	“I felt apple juice running down my throat from that juicy, sweet apple that I took a huge bite out of, that dark red fruit of life.”
aesthetic	“I imagine eating corn on the cob fresh from a farm, eating it typewriter style: click, click, click, brrinngg!”
aesthetic	“I sank my vicious teeth into the wonderful slice of sweet heaven, and the juices flowed down my cheeks like frightened angels trying to escape a dark cave.”
aesthetic	“I saunter through the damp grass, beads of clear liquid tickling my feet; I pause to open my mouth and sample some of the droplets of water descending from the heavens on this murky day.”
aesthetic	“I sprinted outside, out into the cold; as I did, I felt the spray of rain on my face.”
aesthetic	“It is drizzling today, and a soft breeze is quietly whistling as the rain gently drip-drops, soft as feathers, on the school roof.”
aesthetic	“It is raining today; the crystal clear raindrops hit the ground silently.”
aesthetic	“It’s a dim, gluey, rainy day that feels like dark green, sticky frogs are on my skin.”
aesthetic	“Nutritious foods–strawberries, salmon, salmonberries–taste like ballerinas dancing on my tongue; they fall down my gullet and burst with energy in my flavour-filled stomach.”
aesthetic	“Strawberries are so luscious; I pop one in my mouth; take a bite; and a burst of flavour comes thrashing out, like a gift from heaven.”
aesthetic	“The lapis lazuli raindrops slowly sprinkle down upon the emerald earth, like pulchritudinous tears trickling from a giant’s eyes.”
aesthetic	“The rain is coming down from the dark heavy sky; as it hits the roof, the windows, the ground, it explodes, making everything wet.”
aesthetic	“The rain is falling slowly and silently from the clouds; falling and splashing water everywhere.”
aesthetic	“The soft pitter-patter of rain is soothing, as though a million pellets of water are slowly working their way to the ground.”
aesthetic	“The tantalizing peach slices fall into my famished, ferocious, lion of a mouth.”
aesthetic	“The wonderful misty rain is falling down from heaven like little diamonds, splashing on the ground like a waterfall.”
aesthetic	“Today the clouds are out and the rain is falling; there’s nothing nice about it; the rain keeps falling from the sky, hitting the roof of the school; it’s terrible.”
aesthetic	“Today, buckets of glossy water are streaming down to the earth like rivers in the sky; they hit a jungle of grass with a slight pitter-patter, and then, quickly, dissolve into the earth.”
aesthetic	“Today, the wispy wet water is streaming down from the sky, like honey slipping off a spoon.”
aesthetic	“Water drips from the sky seeping into the sopping earth, gushing gooey mud into the giant trough that’s ready to overflow; the little piglets jump, play and roll around in the mushy muck, and beads of raindrops form on their scraggly hair like a spider’s web in the morning dew.”
aesthetic	a dreamy cloud 3 inches thick.
aesthetic	A friend, certainly, but their relationship was also romantic so best friend didn't seem like a good description.
aesthetic	a mellow sunset is like good wine and french summer.
aesthetic	a real sunset is an explosion behind a mountain silhouette.
aesthetic	a sunset is the suns fiery kiss to the night.
aesthetic	all your lipsticks are sooo nice and stunning and for sure this one will be too.
aesthetic	alpaca fiber is so sumptuous and soft it was once reserved for Inca royalty.
aesthetic	Alpaca is an amazingly soft luxurious and silky natural fiber.
aesthetic	Alpaca is softer than silk rarer than cashmere and warmer than wool.
aesthetic	Big, greasy sausages in my pan were overcooked.
aesthetic	Biking, filled with jumps and dangerously steep hills and massive drops and more jumps, is as exhilarating as flying. 
